showid,title,type,releaseyear,endyear,duration,genres,cast,imdbrating,numvotes,popularityrank,isadult,url
tt0458339,Captain America: The First Avenger,Movie,2011,2011,124 min,"Action,Adventure,Sci-Fi","Chris Evans, Chris Evans, Hugo Weaving, Hugo Weaving, Samuel L. Jackson",6.9,964149,103,0,https://www.imdb.com/title/tt0458339/
tt0800369,Thor,Movie,2011,2011,115 min,"Action,Fantasy","Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston, Stellan Skarsgård",7.0,962958,104,0,https://www.imdb.com/title/tt0800369/
tt1300854,Iron Man 3,Movie,2013,2013,130 min,"Action,Adventure,Sci-Fi","Robert Downey Jr., Guy Pearce, Gwyneth Paltrow, Don Cheadle, Rebecca Hall",7.1,962764,105,0,https://www.imdb.com/title/tt1300854/
tt0245429,Spirited Away,Movie,2001,2001,124 min,"Adventure,Animation,Family","Miyu Irino, Rumi Hiiragi, Mari Natsuki, Mari Natsuki, Takashi Naitô",8.6,962497,106,0,https://www.imdb.com/title/tt0245429/
tt7131622,Once Upon a Time... in Hollywood,Movie,2019,2019,161 min,"Comedy,Drama","Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch, Margaret Qualley",7.6,958144,107,0,https://www.imdb.com/title/tt7131622/
tt0241527,Harry Potter and the Sorcerer's Stone,Movie,2001,2001,152 min,"Adventure,Family,Fantasy","Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Maggie Smith",7.7,948688,108,0,https://www.imdb.com/title/tt0241527/
tt1663202,The Revenant,Movie,2015,2015,156 min,"Action,Drama,Western","Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson, Forrest Goodluck",8.0,946761,109,0,https://www.imdb.com/title/tt1663202/
tt0382932,Ratatouille,Movie,2007,2007,111 min,"Adventure,Animation,Comedy","Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm, Brian Dennehy",8.1,938846,110,0,https://www.imdb.com/title/tt0382932/
tt0066921,A Clockwork Orange,Movie,1971,1971,136 min,"Crime,Sci-Fi","Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, John Clive",8.2,934803,111,0,https://www.imdb.com/title/tt0066921/
tt1228705,Iron Man 2,Movie,2010,2010,124 min,"Action,Sci-Fi","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle, Scarlett Johansson",6.9,934414,112,0,https://www.imdb.com/title/tt1228705/
